@RELATION /home/niltonvasques/Documents/ufba/tcc/results/results-fcm-pcm/fcm-hitech

@ATTRIBUTE breakfast	NUMERIC
@ATTRIBUTE farthest	NUMERIC
@ATTRIBUTE channel	NUMERIC
@ATTRIBUTE ago	NUMERIC
@ATTRIBUTE manag	NUMERIC
@ATTRIBUTE whatev	NUMERIC
@ATTRIBUTE lineback	NUMERIC
@ATTRIBUTE acknowledg	NUMERIC
@ATTRIBUTE edit	NUMERIC
@ATTRIBUTE touchdown	NUMERIC
@ATTRIBUTE frame	NUMERIC
@ATTRIBUTE safewai	NUMERIC
@ATTRIBUTE chanei	NUMERIC
@ATTRIBUTE class	NUMERIC
@ATTRIBUTE broadcast	NUMERIC
@ATTRIBUTE pick	NUMERIC
@ATTRIBUTE jose	NUMERIC
@ATTRIBUTE america	NUMERIC
@ATTRIBUTE worri	NUMERIC
@ATTRIBUTE tad	NUMERIC
@ATTRIBUTE neglect	NUMERIC
@ATTRIBUTE bunch	NUMERIC
@ATTRIBUTE starter	NUMERIC
@ATTRIBUTE leak	NUMERIC
@ATTRIBUTE doogi	NUMERIC
@ATTRIBUTE local	NUMERIC
@ATTRIBUTE switzerland	NUMERIC
@ATTRIBUTE cold	NUMERIC
@ATTRIBUTE lag	NUMERIC
@ATTRIBUTE traci	NUMERIC
@ATTRIBUTE associ	NUMERIC
@ATTRIBUTE left	NUMERIC
@ATTRIBUTE flight	NUMERIC
@ATTRIBUTE pretti	NUMERIC
@ATTRIBUTE degr	NUMERIC
@ATTRIBUTE alarm	NUMERIC
@ATTRIBUTE reach	NUMERIC
@ATTRIBUTE ag	NUMERIC
@ATTRIBUTE lawyer	NUMERIC
@ATTRIBUTE rozier	NUMERIC
@ATTRIBUTE memori	NUMERIC
@ATTRIBUTE healthi	NUMERIC
@ATTRIBUTE list	NUMERIC
@ATTRIBUTE wasn	NUMERIC
@ATTRIBUTE endur	NUMERIC
@ATTRIBUTE depend	NUMERIC
@ATTRIBUTE hyattsvill	NUMERIC
@ATTRIBUTE retir	NUMERIC
@ATTRIBUTE folk	NUMERIC
@ATTRIBUTE exc	NUMERIC
@ATTRIBUTE carl	NUMERIC
@ATTRIBUTE nathanson	NUMERIC
@ATTRIBUTE exil	NUMERIC
@ATTRIBUTE cau	NUMERIC
@ATTRIBUTE foursom	NUMERIC
@ATTRIBUTE romant	NUMERIC
@ATTRIBUTE plai	NUMERIC
@ATTRIBUTE keen	NUMERIC
@ATTRIBUTE press	NUMERIC
@ATTRIBUTE highlight	NUMERIC
@ATTRIBUTE rest	NUMERIC
@ATTRIBUTE reportedli	NUMERIC
@ATTRIBUTE execut	NUMERIC
@ATTRIBUTE incom	NUMERIC
@ATTRIBUTE championship	NUMERIC
@ATTRIBUTE offen	NUMERIC
@ATTRIBUTE guard	NUMERIC
@ATTRIBUTE biafor	NUMERIC
@ATTRIBUTE fighter	NUMERIC
@ATTRIBUTE noon	NUMERIC
@ATTRIBUTE current	NUMERIC
@ATTRIBUTE steep	NUMERIC
@ATTRIBUTE todd	NUMERIC
@ATTRIBUTE finder	NUMERIC
@ATTRIBUTE dream	NUMERIC
@ATTRIBUTE japan	NUMERIC
@ATTRIBUTE maci	NUMERIC
@ATTRIBUTE largest	NUMERIC
@ATTRIBUTE breakdown	NUMERIC
@ATTRIBUTE hasn	NUMERIC
@ATTRIBUTE leonard	NUMERIC
@ATTRIBUTE histori	NUMERIC
@ATTRIBUTE math	NUMERIC
@ATTRIBUTE hand	NUMERIC
@ATTRIBUTE inform	NUMERIC
@ATTRIBUTE build	NUMERIC
@ATTRIBUTE minor	NUMERIC
@ATTRIBUTE distant	NUMERIC
@ATTRIBUTE deficit	NUMERIC
@ATTRIBUTE thousand	NUMERIC
@ATTRIBUTE magnanim	NUMERIC
@ATTRIBUTE good	NUMERIC
@ATTRIBUTE vehicl	NUMERIC
@ATTRIBUTE clean	NUMERIC
@ATTRIBUTE boston	NUMERIC
@ATTRIBUTE abu	NUMERIC
@ATTRIBUTE fielder	NUMERIC
@ATTRIBUTE rear	NUMERIC
@ATTRIBUTE enrich	NUMERIC
@ATTRIBUTE lower	NUMERIC
@ATTRIBUTE el	NUMERIC
@ATTRIBUTE kansa	NUMERIC
@ATTRIBUTE moon	NUMERIC
@ATTRIBUTE pari	NUMERIC
@ATTRIBUTE deleg	NUMERIC
@ATTRIBUTE hold	NUMERIC
@ATTRIBUTE guess	NUMERIC
@ATTRIBUTE peopl	NUMERIC
@ATTRIBUTE nation	NUMERIC
@ATTRIBUTE refer	NUMERIC
@ATTRIBUTE ymi	NUMERIC
@ATTRIBUTE wire	NUMERIC
@ATTRIBUTE gulp	NUMERIC
@ATTRIBUTE rock	NUMERIC
@ATTRIBUTE stamp	NUMERIC
@ATTRIBUTE kreutzmann	NUMERIC
@ATTRIBUTE pursu	NUMERIC
@ATTRIBUTE foot	NUMERIC
@ATTRIBUTE jamal	NUMERIC
@ATTRIBUTE offic	NUMERIC
@ATTRIBUTE class 	{cluster_99,cluster_100,cluster_98,cluster_97,cluster_96,cluster_95}

@DATA
0.0,0.0,0.08,0.06,0.0,0.0,0.02,0.07,0.0,0.05,0.0,0.17,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.13,0.06,0.0,0.0,0.0,0.18,0.06,0.02,0.0,0.0,0.2,0.08,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.06,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.03,0.04,0.0,0.05,0.0,0.05,0.02,0.05,0.09,0.0,0.0,0.0,0.0,0.02,0.0,0.14,0.09,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.04,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.12,0.0,0.0,0.05,0.03,0.05,0.06,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.0,0.03,0.0,0.0,0.0,cluster_99
0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_95
0.0,0.0,0.06,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.06,0.0,0.03,0.0,0.08,0.0,0.04,0.0,0.0,0.0,0.04,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.04,0.0,0.0,0.0,0.07,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.19,0.02,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.06,0.0,0.04,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.04,cluster_99
0.0,0.04,0.26,0.12,0.04,0.0,0.14,0.07,0.0,0.0,0.0,0.13,0.0,0.0,0.2,0.15,0.05,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.04,0.0,0.13,0.0,0.16,0.0,0.13,0.0,0.08,0.0,0.08,0.0,0.08,0.0,0.0,0.0,0.08,0.13,0.09,0.03,0.0,0.0,0.13,0.0,0.03,0.0,0.0,0.09,0.0,0.09,0.0,0.08,0.0,0.29,0.07,0.3,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.04,0.0,0.15,0.0,0.03,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.13,0.07,0.0,0.12,0.07,0.0,0.09,0.0,0.0,0.0,0.1,0.0,0.04,0.06,0.06,0.15,0.03,0.0,0.0,0.13,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.27,0.0,0.0,0.0,0.09,0.07,0.0,0.08,cluster_99
0.0,0.0,0.06,0.06,0.04,0.0,0.06,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.13,0.0,0.02,0.0,0.0,0.03,0.0,0.04,0.0,0.0,0.09,0.02,0.06,0.06,0.0,0.19,0.0,0.11,0.0,0.05,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.04,0.0,0.15,0.0,0.0,0.09,0.02,0.0,0.0,0.06,0.04,0.0,0.09,0.0,0.04,0.0,0.0,0.0,0.0,0.08,0.0,0.02,0.05,0.02,0.05,0.0,0.04,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.06,0.03,0.0,0.16,0.02,0.0,0.03,0.0,0.0,0.03,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.08,0.03,0.0,0.0,0.0,0.06,0.0,0.0,0.04,cluster_95
0.0,0.0,0.14,0.09,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.12,0.09,0.02,0.12,0.0,0.04,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.05,0.0,0.0,0.08,0.08,0.0,0.0,0.0,0.07,0.0,0.05,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.06,0.03,0.07,0.0,0.08,cluster_95
0.0,0.0,0.27,0.06,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.09,0.15,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.09,0.03,0.03,0.0,0.13,0.0,0.0,0.0,0.0,0.09,0.0,0.21,0.0,0.08,0.03,0.17,0.0,0.25,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.03,0.0,0.0,0.74,0.05,0.0,0.0,0.0,0.0,0.04,0.29,0.0,0.02,0.2,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.2,0.09,0.0,0.0,0.0,0.0,0.23,0.0,0.02,0.0,0.0,0.0,0.0,0.06,0.0,0.12,0.0,0.0,0.07,0.12,0.03,0.0,0.0,0.24,cluster_99
0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_95
0.0,0.04,0.06,0.0,0.09,0.0,0.0,0.07,0.0,0.0,0.0,0.04,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.13,0.08,0.0,0.06,0.0,0.0,0.0,0.13,0.0,0.02,0.0,0.04,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.02,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.07,0.05,0.0,0.0,0.0,0.0,0.02,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.03,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,cluster_99
0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.02,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,cluster_95
